store_id,sku_id
DS01,SKU0261
DS01,SKU0176
DS01,SKU0161
DS01,SKU0266
DS01,SKU0117
DS01,SKU0122
DS01,SKU0172
DS01,SKU0095
DS01,SKU0094
DS01,SKU0076
DS01,SKU0127
DS01,SKU0106
DS01,SKU0219
DS01,SKU0143
DS01,SKU0018
DS01,SKU0032
DS01,SKU0061
DS01,SKU0212
DS01,SKU0023
DS01,SKU0012
DS01,SKU0256
DS01,SKU0085
DS01,SKU0013
DS01,SKU0169
DS01,SKU0132
DS01,SKU0218
DS01,SKU0043
DS01,SKU0066
DS01,SKU0113
DS01,SKU0103
DS01,SKU0134
DS01,SKU0259
DS01,SKU0209
DS01,SKU0050
DS01,SKU0181
DS01,SKU0135
DS01,SKU0016
DS01,SKU0081
DS01,SKU0257
DS01,SKU0195
DS01,SKU0049
DS01,SKU0030
DS01,SKU0236
DS01,SKU0242
DS01,SKU0251
DS01,SKU0147
DS01,SKU0230
DS01,SKU0200
DS01,SKU0225
DS01,SKU0046
DS01,SKU0092
DS01,SKU0240
DS01,SKU0260
DS01,SKU0264
DS01,SKU0226
DS01,SKU0156
DS01,SKU0086
DS01,SKU0022
DS01,SKU0198
DS01,SKU0138
DS01,SKU0194
DS01,SKU0121
DS01,SKU0145
DS01,SKU0128
DS01,SKU0087
DS01,SKU0035
DS01,SKU0059
DS01,SKU0079
DS01,SKU0011
DS01,SKU0037
DS01,SKU0179
DS01,SKU0210
DS01,SKU0063
DS01,SKU0002
DS01,SKU0207
DS01,SKU0091
DS01,SKU0213
DS01,SKU0047
DS01,SKU0068
DS01,SKU0253
DS01,SKU0167
DS01,SKU0215
DS01,SKU0197
DS01,SKU0238
DS01,SKU0222
DS01,SKU0051
DS01,SKU0205
DS01,SKU0114
DS01,SKU0131
DS01,SKU0115
DS01,SKU0073
DS01,SKU0010
DS01,SKU0069
DS01,SKU0052
DS01,SKU0028
DS01,SKU0184
DS01,SKU0193
DS01,SKU0029
DS01,SKU0006
DS01,SKU0044
DS01,SKU0174
DS01,SKU0082
DS01,SKU0026
DS01,SKU0021
DS01,SKU0129
DS01,SKU0188
DS01,SKU0149
DS01,SKU0099
DS01,SKU0180
DS01,SKU0008
DS01,SKU0232
DS01,SKU0045
DS01,SKU0003
DS01,SKU0001
DS01,SKU0162
DS01,SKU0004
DS01,SKU0072
DS01,SKU0142
DS01,SKU0116
DS01,SKU0015
DS01,SKU0005
DS01,SKU0104
DS01,SKU0034
DS01,SKU0042
DS01,SKU0053
DS01,SKU0185
DS01,SKU0250
DS01,SKU0009
DS01,SKU0017
DS01,SKU0254
DS01,SKU0054
DS01,SKU0159
DS01,SKU0154
DS01,SKU0093
DS01,SKU0136
DS01,SKU0100
DS01,SKU0165
DS01,SKU0090
DS01,SKU0204
DS01,SKU0183
DS01,SKU0168
DS01,SKU0186
DS01,SKU0158
DS01,SKU0077
DS01,SKU0252
DS01,SKU0031
DS01,SKU0089
DS01,SKU0067
DS01,SKU0041
DS01,SKU0110
DS01,SKU0025
DS01,SKU0130
DS01,SKU0105
DS01,SKU0111
DS01,SKU0062
DS01,SKU0160
DS01,SKU0241
DS01,SKU0058
DS01,SKU0083
DS01,SKU0216
DS01,SKU0071
DS01,SKU0187
DS01,SKU0146
DS01,SKU0258
DS01,SKU0074
DS01,SKU0173
DS01,SKU0224
DS01,SKU0027
DS01,SKU0206
DS01,SKU0155
DS01,SKU0020
DS01,SKU0203
DS01,SKU0148
DS01,SKU0056
DS01,SKU0235
DS01,SKU0102
DS01,SKU0227
DS01,SKU0233
DS01,SKU0199
DS01,SKU0119
DS01,SKU0098
DS01,SKU0201
DS01,SKU0265
DS01,SKU0075
DS01,SKU0234
DS01,SKU0178
DS01,SKU0007
DS02,SKU0261
DS02,SKU0176
DS02,SKU0161
DS02,SKU0266
DS02,SKU0117
DS02,SKU0122
DS02,SKU0172
DS02,SKU0095
DS02,SKU0094
DS02,SKU0076
DS02,SKU0127
DS02,SKU0106
DS02,SKU0219
DS02,SKU0143
DS02,SKU0018
DS02,SKU0032
DS02,SKU0061
DS02,SKU0212
DS02,SKU0023
DS02,SKU0012
DS02,SKU0256
DS02,SKU0085
DS02,SKU0013
DS02,SKU0169
DS02,SKU0132
DS02,SKU0218
DS02,SKU0043
DS02,SKU0066
DS02,SKU0113
DS02,SKU0103
DS02,SKU0134
DS02,SKU0259
DS02,SKU0209
DS02,SKU0050
DS02,SKU0181
